           0(  0 %)      281 hsa-miR-450a-5p|MIMAT0001545
           0(  0 %)      282 hsa-miR-431-5p|MIMAT0001625
           2( 20 %)      283 hsa-miR-431-3p|MIMAT0004757
           0(  0 %)      284 hsa-miR-433-3p|MIMAT0001627
           0(  0 %)      285 hsa-miR-329-3p|MIMAT0001629
           0(  0 %)      286 hsa-miR-451a|MIMAT0001631
          10(100 %)      287 hsa-miR-452-5p|MIMAT0001635
           0(  0 %)      288 hsa-miR-452-3p|MIMAT0001636
           0(  0 %)      289 hsa-miR-409-5p|MIMAT0001638
           0(  0 %)      290 hsa-miR-409-3p|MIMAT0001639
           0(  0 %)      291 hsa-miR-410-3p|MIMAT0002171
          10(100 %)      292 hsa-miR-483-5p|MIMAT0004761
          10(100 %)      293 hsa-miR-483-3p|MIMAT0002173
           0(  0 %)      294 hsa-miR-484|MIMAT0002174
           0(  0 %)      295 hsa-miR-485-3p|MIMAT0002176
           0(  0 %)      296 hsa-miR-486-5p|MIMAT0002177
           0(  0 %)      297 hsa-miR-486-3p|MIMAT0004762
           0(  0 %)      298 hsa-miR-491-5p|MIMAT0002807
           0(  0 %)      299 hsa-miR-491-3p|MIMAT0004765
          10(100 %)      300 hsa-miR-511-5p|MIMAT0002808
           0(  0 %)      301 hsa-miR-146b-5p|MIMAT0002809
          10(100 %)      302 hsa-miR-146b-3p|MIMAT0004766
          10(100 %)      303 hsa-miR-493-5p|MIMAT0002813
           0(  0 %)      304 hsa-miR-493-3p|MIMAT0003161
           0(  0 %)      305 hsa-miR-432-5p|MIMAT0002814
           0(  0 %)      306 hsa-miR-494-3p|MIMAT0002816
           0(  0 %)      307 hsa-miR-495-3p|MIMAT0002817
           0(  0 %)      308 hsa-miR-496|MIMAT0002818
           0(  0 %)      309 hsa-miR-193b-5p|MIMAT0004767
          10(100 %)      310 hsa-miR-193b-3p|MIMAT0002819
           1( 10 %)      311 hsa-miR-497-5p|MIMAT0002820
           0(  0 %)      312 hsa-miR-181d-5p|MIMAT0002821
           0(  0 %)      313 hsa-miR-500a-5p|MIMAT0004773
           0(  0 %)      314 hsa-miR-500a-3p|MIMAT0002871
           0(  0 %)      315 hsa-miR-501-5p|MIMAT0002872
           0(  0 %)      316 hsa-miR-501-3p|MIMAT0004774
           0(  0 %)      317 hsa-miR-502-5p|MIMAT0002873
           0(  0 %)      318 hsa-miR-502-3p|MIMAT0004775
           0(  0 %)      319 hsa-miR-503-5p|MIMAT0002874
           8( 80 %)      320 hsa-miR-504-5p|MIMAT0002875
           0(  0 %)      321 hsa-miR-505-5p|MIMAT0004776
           0(  0 %)      322 hsa-miR-505-3p|MIMAT0002876
          10(100 %)      323 hsa-miR-508-3p|MIMAT0002880
          10(100 %)      324 hsa-miR-509-3p|MIMAT0002881
          10(100 %)      325 hsa-miR-514a-3p|MIMAT0002883
           0(  0 %)      326 hsa-miR-532-5p|MIMAT0002888
           4( 40 %)      327 hsa-miR-532-3p|MIMAT0004780
          10(100 %)      328 hsa-miR-455-5p|MIMAT0003150
           3( 30 %)      329 hsa-miR-455-3p|MIMAT0004784
           9( 90 %)      330 hsa-miR-539-5p|MIMAT0003163
           0(  0 %)      331 hsa-miR-487b-3p|MIMAT0003180
           0(  0 %)      332 hsa-miR-92b-5p|MIMAT0004792
          10(100 %)      333 hsa-miR-92b-3p|MIMAT0003218
          10(100 %)      334 hsa-miR-551b-3p|MIMAT0003233
           2( 20 %)      335 hsa-miR-574-3p|MIMAT0003239
           0(  0 %)      336 hsa-miR-576-5p|MIMAT0003241
          10(100 %)      337 hsa-miR-577|MIMAT0003242
           3( 30 %)      338 hsa-miR-582-5p|MIMAT0003247
           7( 70 %)      339 hsa-miR-582-3p|MIMAT0004797
          10(100 %)      340 hsa-miR-584-5p|MIMAT0003249
          10(100 %)      341 hsa-miR-548b-3p|MIMAT0003254
           0(  0 %)      342 hsa-miR-589-5p|MIMAT0004799
           0(  0 %)      343 hsa-miR-589-3p|MIMAT0003256
           0(  0 %)      344 hsa-miR-550a-5p|MIMAT0004800
           0(  0 %)      345 hsa-miR-550a-3p|MIMAT0003257
           0(  0 %)      346 hsa-miR-590-5p|MIMAT0003258
           0(  0 %)      347 hsa-miR-590-3p|MIMAT0004801
          10(100 %)      348 hsa-miR-592|MIMAT0003260
          10(100 %)      349 hsa-miR-598-3p|MIMAT0003266
          10(100 %)      350 hsa-miR-615-3p|MIMAT0003283
          10(100 %)      351 hsa-miR-616-5p|MIMAT0003284
           0(  0 %)      352 hsa-miR-616-3p|MIMAT0004805
          10(100 %)      353 hsa-miR-618|MIMAT0003287
           0(  0 %)      354 hsa-miR-624-5p|MIMAT0003293
           0(  0 %)      355 hsa-miR-625-5p|MIMAT0003294
          10(100 %)      356 hsa-miR-625-3p|MIMAT0004808
           1( 10 %)      357 hsa-miR-627-5p|MIMAT0003296
           1( 10 %)      358 hsa-miR-628-5p|MIMAT0004809
           0(  0 %)      359 hsa-miR-628-3p|MIMAT0003297
           0(  0 %)      360 hsa-miR-629-5p|MIMAT0004810
           9( 90 %)      361 hsa-miR-629-3p|MIMAT0003298
           0(  0 %)      362 hsa-miR-33b-5p|MIMAT0003301
           0(  0 %)      363 hsa-miR-639|MIMAT0003309
           0(  0 %)      364 hsa-miR-642a-5p|MIMAT0003312
          10(100 %)      365 hsa-miR-651-5p|MIMAT0003321
           0(  0 %)      366 hsa-miR-652-3p|MIMAT0003322
           1( 10 %)      367 hsa-miR-653-5p|MIMAT0003328
           0(  0 %)      368 hsa-miR-411-5p|MIMAT0003329
           0(  0 %)      369 hsa-miR-411-3p|MIMAT0004813
           0(  0 %)      370 hsa-miR-654-5p|MIMAT0003330
           0(  0 %)      371 hsa-miR-654-3p|MIMAT0004814
           1( 10 %)      372 hsa-miR-655-3p|MIMAT0003331
           0(  0 %)      373 hsa-miR-660-5p|MIMAT0003338
           0(  0 %)      374 hsa-miR-421|MIMAT0003339
           0(  0 %)      375 hsa-miR-542-5p|MIMAT0003340
           0(  0 %)      376 hsa-miR-542-3p|MIMAT0003389
           0(  0 %)      377 hsa-miR-758-3p|MIMAT0003879
          10(100 %)      378 hsa-miR-671-5p|MIMAT0003880
           0(  0 %)      379 hsa-miR-671-3p|MIMAT0004819
          10(100 %)      380 hsa-miR-1224-5p|MIMAT0005458
           0(  0 %)      381 hsa-miR-320b|MIMAT0005792
           0(  0 %)      382 hsa-miR-320c|MIMAT0005793
           0(  0 %)      383 hsa-miR-1296-5p|MIMAT0005794
          10(100 %)      384 hsa-miR-1468-5p|MIMAT0006789
           0(  0 %)      385 hsa-miR-1271-5p|MIMAT0005796
           0(  0 %)      386 hsa-miR-1301-3p|MIMAT0005797
           0(  0 %)      387 hsa-miR-454-5p|MIMAT0003884
           0(  0 %)      388 hsa-miR-454-3p|MIMAT0003885
           0(  0 %)      389 hsa-miR-769-5p|MIMAT0003886
           0(  0 %)      390 hsa-miR-769-3p|MIMAT0003887
          10(100 %)      391 hsa-miR-766-3p|MIMAT0003888
          10(100 %)      392 hsa-miR-675-3p|MIMAT0006790
          10(100 %)      393 hsa-miR-891a-5p|MIMAT0004902
           4( 40 %)      394 hsa-miR-450b-5p|MIMAT0004909
          10(100 %)      395 hsa-miR-874-3p|MIMAT0004911
           1( 10 %)      396 hsa-miR-889-3p|MIMAT0004921
          10(100 %)      397 hsa-miR-708-5p|MIMAT0004926
          10(100 %)      398 hsa-miR-708-3p|MIMAT0004927
           0(  0 %)      399 hsa-miR-744-5p|MIMAT0004945
           0(  0 %)      400 hsa-miR-744-3p|MIMAT0004946
          10(100 %)      401 hsa-miR-885-5p|MIMAT0004947
           6( 60 %)      402 hsa-miR-877-5p|MIMAT0004949
          10(100 %)      403 hsa-miR-887-3p|MIMAT0004951
           0(  0 %)      404 hsa-miR-543|MIMAT0004954
           0(  0 %)      405 hsa-miR-374b-5p|MIMAT0004955
           0(  0 %)      406 hsa-miR-374b-3p|MIMAT0004956
           3( 30 %)      407 hsa-miR-760|MIMAT0004957
           0(  0 %)      408 hsa-miR-301b-3p|MIMAT0004958
          10(100 %)      409 hsa-miR-935|MIMAT0004978
           0(  0 %)      410 hsa-miR-937-3p|MIMAT0004980
           0(  0 %)      411 hsa-miR-939-5p|MIMAT0004982
           0(  0 %)      412 hsa-miR-940|MIMAT0004983
           1( 10 %)      413 hsa-miR-942-5p|MIMAT0004985
           0(  0 %)      414 hsa-miR-1180-3p|MIMAT0005825
           0(  0 %)      415 hsa-miR-1226-3p|MIMAT0005577
           0(  0 %)      416 hsa-miR-1228-5p|MIMAT0005582
           0(  0 %)      417 hsa-miR-1228-3p|MIMAT0005583
           0(  0 %)      418 hsa-miR-1229-3p|MIMAT0005584
          10(100 %)      419 hsa-miR-1287-5p|MIMAT0005878
           0(  0 %)      420 hsa-miR-1291|MIMAT0005881
          10(100 %)      421 hsa-miR-1247-5p|MIMAT0005899
           9( 90 %)      422 hsa-miR-1249-3p|MIMAT0005901
           1( 10 %)      423 hsa-miR-1254|MIMAT0005905
           3( 30 %)      424 hsa-miR-1262|MIMAT0005914
           0(  0 %)      425 hsa-miR-548o-3p|MIMAT0005919
           0(  0 %)      426 hsa-miR-1266-5p|MIMAT0005920
          10(100 %)      427 hsa-miR-1269a|MIMAT0005923
          10(100 %)      428 hsa-miR-1270|MIMAT0005924
           9( 90 %)      429 hsa-miR-1277-3p|MIMAT0005933
           0(  0 %)      430 hsa-miR-1288-3p|MIMAT0005942
           0(  0 %)      431 hsa-miR-1292-5p|MIMAT0005943
           0(  0 %)      432 hsa-miR-664a-5p|MIMAT0005948
           0(  0 %)      433 hsa-miR-664a-3p|MIMAT0005949
           0(  0 %)      434 hsa-miR-1306-3p|MIMAT0005950
           0(  0 %)      435 hsa-miR-1307-3p|MIMAT0005951
           0(  0 %)      436 hsa-miR-320d|MIMAT0006764
           0(  0 %)      437 hsa-miR-1976|MIMAT0009451
